glyph,number_of_contours
229,4
803,1
1267,3
290,2
36,1
291,3
52,2
65279,0
221,2
94,1
335,3
201,2
7922,2
7887,3
8221,2
7885,3
7886,3
7883,3
7884,3
7882,2
350,2
269,2
193,3
8218,1
292,2
8364,1
1254,4
318,2
7878,3
80,2
7876,3
7877,4
7874,3
7875,4
95,1
7873,4
954,1
8242,1
7881,2
8208,1
8209,1
329,2
311,2
310,2
399,2
8013,4
284,2
257,3
112,2
315,2
8215,2
7912,2
973,2
213,3
352,2
48,2
7901,3
7915,2
920,3
7913,2
305,1
279,3
7812,3
232,3
346,2
1224,1
1225,2
777,1
1220,1
1221,2
167,2
1223,1
1218,2
1219,1
206,2
241,2
943,2
1051,1
1052,1
1050,1
8804,2
316,2
729,1
1046,1
1047,1
1044,2
1045,1
1042,3
1043,1
176,2
1041,2
1053,1
75,1
1048,1
1049,2
924,1
7864,2
1229,2
1230,2
713,1
1226,2
368,3
197,4
266,2
107,1
344,3
192,3
917,1
319,2
278,2
258,3
1242,4
247,3
244,3
190,4
7893,4
126,1
313,2
8721,1
7840,3
1249,1
286,2
50,1
65532,22
1086,2
65533,5
353,2
70,1
1088,2
914,3
906,2
7911,2
308,2
91,1
86,1
965,1
270,3
1216,1
923,1
8805,2
102,1
186,2
8470,4
8467,2
181,1
1174,2
182,1
57,2
118,1
1252,3
339,3
964,1
1173,1
267,2
911,2
7920,2
92,1
63171,1
164,2
1228,2
7907,3
1168,1
1169,1
1278,1
235,4
783,2
331,1
312,1
342,3
8539,5
1115,1
1116,2
1114,2
1119,1
1029,1
1118,2
65,2
1298,2
8719,1
1113,2
363,2
1106,1
1107,2
1104,3
1105,4
1110,2
1111,3
1108,1
1109,1
81,2
97,2
64260,1
8229,2
64257,2
64259,2
64258,1
113,2
8252,4
243,3
7858,4
978,1
7872,3
1122,2
242,3
283,3
367,3
710,1
958,1
44,1
1279,1
1065,1
1064,1
1063,1
1062,1
1061,1
1060,3
1059,1
416,2
908,3
1056,2
1072,2
358,1
245,3
285,3
7880,2
8356,1
1258,5
381,2
187,2
62,1
932,1
7848,4
250,2
304,2
941,2
76,1
265,2
273,2
296,2
184,1
8213,1
333,3
903,1
935,1
1071,2
1070,2
1069,1
1068,2
108,1
172,1
7923,2
161,2
366,3
1299,2
8211,1
8363,4
330,1
509,4
7891,4
7890,4
7889,4
1296,1
7895,4
7894,4
224,3
944,4
8355,2
7897,4
912,4
364,2
196,4
223,1
214,4
32,0
769,1
8217,1
251,2
1241,2
1201,1
282,2
71,1
7892,4
8216,1
87,1
334,3
931,1
7900,3
238,2
7898,3
7903,3
103,2
314,2
299,2
432,1
306,2
119,1
7811,2
700,1
771,1
7904,3
955,1
1123,2
8800,1
1121,1
1120,1
1127,2
1126,2
1125,1
1124,1
8730,1
1129,2
1128,2
49,1
567,1
730,2
374,2
280,1
317,2
953,1
7808,2
66,3
7896,4
237,2
7850,4
376,3
1236,2
82,2
260,2
926,3
1132,2
1131,2
1130,2
114,1
1135,2
1134,2
1133,2
1032,1
918,1
199,2
8722,1
357,2
8362,2
1196,2
383,1
974,2
1238,2
8319,1
219,2
7853,4
321,1
7855,4
320,2
7851,4
259,3
341,2
402,1
8494,2
359,1
217,2
218,2
1247,3
1244,3
8453,4
1038,2
362,2
274,2
253,2
768,1
7849,4
228,4
323,2
510,4
34,2
1194,2
337,4
189,3
222,2
77,1
946,2
56,3
1240,2
961,2
215,1
945,2
1239,3
1195,2
1233,3
1232,3
96,1
8308,2
212,3
109,1
7841,3
7842,3
939,3
942,2
8358,5
8360,3
8361,7
963,2
1222,2
7918,2
1280,2
1281,2
1282,2
1283,2
1284,1
1285,1
1286,1
1287,1
1288,1
1289,1
1268,3
1217,2
8250,1
9674,2
209,2
370,1
191,2
262,2
195,3
8240,6
231,2
962,1
1055,1
936,1
169,3
380,2
1085,1
293,2
1087,1
165,1
1082,1
1083,1
1084,1
905,2
1054,2
8542,5
377,2
38,3
7926,2
373,2
922,1
72,1
263,2
256,3
7846,4
98,2
1080,1
1081,2
1076,2
88,1
1078,1
1079,1
207,3
1073,2
1074,3
1075,1
8359,2
124,1
1024,2
104,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,1
120,1
252,3
170,2
1040,2
1027,2
287,3
345,2
268,2
1215,3
928,1
1214,3
123,1
1153,1
1152,1
1155,1
1154,1
1157,1
1156,1
7919,2
1158,1
1161,8
1160,8
902,3
175,1
971,3
188,4
1057,1
1261,3
227,3
194,3
952,3
347,2
216,3
67,1
8220,2
959,2
506,5
508,3
937,1
7905,3
83,1
1163,3
1166,2
1165,2
7910,2
1167,2
378,2
33,2
7916,2
1162,3
99,1
122,1
8540,5
8219,1
61,2
115,1
951,1
7908,2
240,2
295,1
7865,3
7859,4
7909,2
340,3
369,3
200,2
977,2
7861,4
45,1
360,2
46,1
236,2
7860,4
1190,1
1191,1
1188,1
1189,1
1186,2
1187,2
1184,1
1185,1
230,3
950,1
1030,1
1231,1
1192,2
1193,2
202,2
8243,2
8706,2
8482,2
51,1
162,1
910,2
1146,2
1147,2
1148,3
1149,3
1150,2
1151,2
322,1
960,1
417,2
173,1
375,2
1137,1
1138,3
1139,3
1140,1
1141,1
1142,3
511,4
1144,3
1145,3
160,0
78,1
728,1
226,3
211,3
1199,1
354,2
1197,2
1198,1
171,2
7681,4
355,2
110,1
1170,1
239,3
125,1
55,1
938,3
166,2
343,2
755,2
904,2
249,2
307,4
7854,4
956,1
8541,5
921,1
356,2
183,1
1245,3
916,2
272,2
7852,4
972,3
163,1
966,2
1200,1
8734,3
73,1
276,2
1183,1
934,3
89,1
208,2
8212,1
54,2
915,1
1272,5
900,1
1036,2
7743,2
1246,3
7742,2
1182,1
121,1
328,2
927,2
177,2
60,1
7810,2
1171,1
1297,1
1256,3
1257,3
732,1
1250,2
1251,2
1248,1
1213,2
1212,2
1255,4
1210,1
1253,3
8195,0
8194,0
8193,0
8192,0
8199,0
8198,0
8197,0
8196,0
7857,4
7856,4
8201,0
8200,0
919,1
7862,4
8377,1
1243,4
8369,4
297,2
220,3
968,1
68,2
8381,2
8378,1
8380,1
234,3
8203,0
8202,0
53,1
84,1
327,2
913,2
7866,2
7868,2
294,2
7870,3
7869,3
7871,4
248,3
180,1
496,2
365,2
100,2
1209,1
1208,1
1207,2
1206,2
338,2
1204,1
1203,2
1202,2
204,2
1262,2
1259,5
116,1
1260,3
58,2
1117,2
1205,1
261,2
41,1
178,1
60929,2
507,5
349,2
1164,2
255,3
185,1
1067,3
1033,2
7902,3
1066,2
309,2
69,1
1181,1
39,1
1179,2
1180,1
1178,2
281,2
536,2
537,2
7906,3
970,3
361,2
348,2
47,1
8230,3
324,2
35,2
288,2
382,2
246,4
277,3
1211,1
79,2
431,1
7879,4
1077,2
711,1
1263,2
1143,3
538,2
539,2
7680,4
1176,2
1177,2
1034,2
1175,2
1172,1
1035,1
8249,1
1037,2
111,2
1039,1
203,3
43,1
967,1
925,1
275,3
947,1
7914,2
179,1
8224,1
60930,2
901,3
8747,1
1058,1
1237,3
7929,2
7928,2
300,2
7925,2
7924,2
7927,2
271,3
7921,2
733,2
40,1
1276,2
1275,3
1274,3
105,2
1277,2
13,0
63,2
325,2
326,2
371,1
1235,4
8260,1
1234,4
7809,2
332,3
302,2
949,1
174,4
74,1
168,2
1266,3
1265,3
1264,3
