status,family,upstream,fontfiles prefix,Notes
OK,ABeeZee,https://github.com/googlefonts/abeezee.git,fonts/ttf/ABeeZee-,
?,abel,,,
OK,Abhaya Libre,https://github.com/googlefonts/MooniakFontsGFVersion,fonts/AbhayaLibre-,
?,abrilfatface,,,
?,abyssinicasil,,,
?,aclonica,,,
?,acme,,,
?,actor,,,
OK,Adamina,https://github.com/cyrealtype/Adamina.git,fonts/Adamina-,
OK,Adobe Blank,https://github.com/adobe-fonts/adobe-blank,AdobeBlank,
?,adventpro,,,
?,aguafinascript,,,
?,akronim,,,
?,aksarabaligalang,,,
?,aladin,,,
?,aldrich,,,
?,alef,,,
?,alefhebrew,,,
?,alegreya,,,
?,alegreyasans,,,
?,alegreyasanssc,,,
?,alegreyasc,,,
?,alexbrush,,,
OK,Alfa Slab One,https://github.com/jmsole/alfaslab,fonts/ttf/AlfaSlabOne-,
OK,Alice,https://github.com/cyrealtype/Alice,fonts/Alice-,
OK,Alike,https://github.com/cyrealtype/Alike.git,Alike-,
?,alikeangular,,,
?,allan,,,
?,allerta,,,
?,allertastencil,,,
?,allura,,,
?,almendra,,,
?,almendradisplay,,,
?,almendrasc,,,
?,amarante,,,
OK,Amatic SC,https://github.com/googlefonts/AmaticSC.git,fonts/ttf/AmaticSC-,
OK,Amethysta,https://github.com/cyrealtype/amethysta,Amethysta-,
NOTE,Amiri,https://github.com/alif-type/amiri,amiri-,Non-canonical names!
OK,Amita,https://github.com/etunni/Amita.git,TTF/Amita-,
NOTE,Amstelvar Alpha,https://github.com/TypeNetwork/fb-Amstelvar,fonts/AmstelvarAlpha-,Non-canonical names!
OK,Anaheim,https://github.com/googlefonts/anaheimFont.git,fonts/ttf/Anaheim-,
?,andada,,,
?,andadasc,,,
?,andika,,,
?,angkor,,,
?,annieuseyourtelescope,,,
?,anonymouspro,,,
?,antic,,,
?,anticdidone,,,
?,anticslab,,,
OK,Anton,https://github.com/googlefonts/AntonFont.git,fonts/Anton-,
?,antonio,,,
?,arapey,,,
?,arbutus,,,
?,arbutusslab,,,
?,architectsdaughter,,,
TTX,Archivo,https://github.com/Omnibus-Type/Archivo,fonts/ttf/Archivo-,
NOTE,Archivo Black,https://github.com/Omnibus-Type/ArchivoBlack,Fonts/Archivo,Non-canonical names!
OK,Archivo Narrow,https://github.com/Omnibus-Type/ArchivoNarrow,Fonts/ArchivoNarrow-,
?,arimo,,,
?,arizonia,,,
?,armata,,,
OK,arsenal,https://github.com/alexeiva/Arsenal,fonts/ttf/Arsenal-,
?,artifika,,,
NOTE,Arvo,https://github.com/antonxheight/Arvo,Arvo-,Non-canonical names!
OK,Arya,https://github.com/etunni/Arya.git,TTF/Arya-,
OK,Asap,https://github.com/Omnibus-Type/Asap,Fonts/Asap-,
NOTE,Asap Condensed,https://github.com/Omnibus-Type/AsapCondensed,fonts/ttf/Asap-,Non-canonical names!
OK,Asar,https://github.com/EbenSorkin/Asar.git,Asar-,
?,asset,,,
?,astloch,,,
?,asul,,,
OK,Atomic Age,https://github.com/EbenSorkin/Atomic-Age.git,fonts/ttf/AtomicAge-,
?,aubrey,,,
?,audiowide,,,
?,autourone,,,
?,average,,,
?,averagesans,,,
?,averiagruesalibre,,,
?,averialibre,,,
?,averiasanslibre,,,
?,averiaseriflibre,,,
OK,Badscript,https://github.com/alexeiva/badscript,fonts/BadScript-,
OK,Bahiana,https://github.com/Omnibus-Type/Bahiana,Fonts/Bahiana-,
TTX,Baloo,https://github.com/girish-dalvi/Baloo,TTX/Baloo-,
TTX,BalooBhai,https://github.com/girish-dalvi/Baloo,TTX/BalooBhai-,
TTX,BalooBhaijaan,https://github.com/girish-dalvi/Baloo,TTX/BalooBhaijaan-,
TTX,BalooBhaina,https://github.com/girish-dalvi/Baloo,TTX/BalooBhaina-,
TTX,BalooChettan,https://github.com/girish-dalvi/Baloo,TTX/BalooChettan-,
TTX,BalooDa,https://github.com/girish-dalvi/Baloo,TTX/BalooDa-,
TTX,BalooPaaji,https://github.com/girish-dalvi/Baloo,TTX/BalooPaaji-,
TTX,BalooTamma,https://github.com/girish-dalvi/Baloo,TTX/BalooTamma-,
TTX,BalooTammudu,https://github.com/girish-dalvi/Baloo,TTX/BalooTammudu-,
TTX,BalooThambi,https://github.com/girish-dalvi/Baloo,TTX/BalooThambi-,
?,balthazar,,,
OK,Bangers,https://github.com/googlefonts/bangers.git,fonts/Bangers-,
OK,Barrio,https://github.com/Omnibus-Type/Barrio,Fonts/Barrio-,
OK,Basic,https://github.com/EbenSorkin/Basic.git,Basic-,
?,battambang,,,
?,baumans,,,
?,bayon,,,
?,belgrano,,,
?,belleza,,,
?,benchnine,,,
?,bentham,,,
?,berkshireswash,,,
OK,Bevan,https://github.com/googlefonts/BevanFont.git,fonts/ttf/Bevan-,
OK,Bhavuka,https://github.com/10four/Bhavuka.git,Bhavuka-,
?,bigelowrules,,,
?,bigshotone,,,
?,bilbo,,,
?,bilboswashcaps,,,
NOTE,Biryani,https://github.com/typeoff/biryani,Font Files/TTFs with ttautohints/Biryani-,There's also Biryani without autohints.
OK,Bitter,https://github.com/solmatas/Bitter,fonts/ttf/Bitter-,
?,blackopsone,,,
?,bokor,,,
?,bonbon,,,
?,boogaloo,,,
?,bowlbyone,,,
?,bowlbyonesc,,,
?,brawler,,,
?,breeserif,,,
?,brunoace,,,
?,brunoacesc,,,
?,bubblegumsans,,,
?,bubblerone,,,
?,buda,,,
?,buenard,,,
?,butcherman,,,
?,butchermancaps,,,
?,butterflykids,,,
OK,Cabin,https://github.com/impallari/Cabin.git,fonts/TTF/Cabin-,
OK,Cabin Condensed,https://github.com/impallari/Cabin.git,fonts/TTF/CabinCondensed-,
OK,Cabin Sketch,https://github.com/impallari/CabinSketch,fonts/CabinSketch-,
?,cabinvfbeta,,,
?,caesardressing,,,
?,cagliostro,,,
?,calligraffitti,,,
OK,Cambay,https://github.com/anexasajoop/cambay.git,Font files/Unhinted/CambayDevanagari-,
?,cambo,,,
?,candal,,,
?,cantarell,,,
?,cantataone,,,
?,cantoraone,,,
?,capriola,,,
?,cardo,,,
?,carme,,,
?,carroisgothic,,,
?,carroisgothicsc,,,
?,carterone,,,
?,catamaran,,,
